captured_at,card_id,usage_count,public_deck_count,derived_public_deck_count,copy_count,usage_rank
2026-08-13T08:15:14.997410+00:00,bp01-001-jormuntide-ignis-savage-lava-dragon,171,171,0,0,33
2026-08-13T08:15:14.997410+00:00,bp01-002-suzaku-hellfire-wings,116,116,0,0,60
2026-08-13T08:15:14.997410+00:00,bp01-003-gobfin-ignis-blazing-hothead,82,82,0,0,82
2026-08-13T08:15:14.997410+00:00,bp01-004-bushi-ephemeral-blade,138,138,0,0,48
2026-08-13T08:15:14.997410+00:00,bp01-005-reptyro-ore-gorger,123,123,0,0,55
2026-08-13T08:15:14.997410+00:00,bp01-006-foxparks-light-of-courage,182,182,0,0,30
2026-08-13T08:15:14.997410+00:00,bp01-007-kitsun-wyrmbane-fangs,67,67,0,0,98
2026-08-13T08:15:14.997410+00:00,bp01-008-sparkit-hazardous-contact,93,93,0,0,72
2026-08-13T08:15:14.997410+00:00,bp01-009-univolt-valiant-thunderclap,42,42,0,0,121
2026-08-13T08:15:14.997410+00:00,bp01-010-ragnahawk-emberwing-striker,94,94,0,0,71
2026-08-13T08:15:14.997410+00:00,bp01-011-rooby-brave-sparks,76,76,0,0,89
2026-08-13T08:15:14.997410+00:00,bp01-012-flambelle-scorching-tears,109,109,0,0,65
2026-08-13T08:15:14.997410+00:00,bp01-013-pyrin-cinder-steed,8,8,0,0,148
2026-08-13T08:15:14.997410+00:00,bp01-014-blazehowl-hellflame-defender,137,137,0,0,49
2026-08-13T08:15:14.997410+00:00,bp01-015-mounted-machine-gun,89,89,0,0,75
2026-08-13T08:15:14.997410+00:00,bp01-016-primitive-furnace,154,154,0,0,39
2026-08-13T08:15:14.997410+00:00,bp01-017-flame-cauldron,71,71,0,0,93
2026-08-13T08:15:14.997410+00:00,bp01-018-alarm-bell,38,38,0,0,126
2026-08-13T08:15:14.997410+00:00,bp01-019-foxparks-harness,106,106,0,0,69
2026-08-13T08:15:14.997410+00:00,bp01-020-pump-action-shotgun,290,290,0,0,6
2026-08-13T08:15:14.997410+00:00,bp01-021-makeshift-handgun,126,126,0,0,54
2026-08-13T08:15:14.997410+00:00,bp01-022-stone-pickaxe,22,22,0,0,139
2026-08-13T08:15:14.997410+00:00,bp01-023-axel-s-strategy,195,195,0,0,24
2026-08-13T08:15:14.997410+00:00,bp01-024-treasure-chest-found,60,60,0,0,106
2026-08-13T08:15:14.997410+00:00,bp01-025-chillet-dragon-whisperer,222,222,0,0,18
2026-08-13T08:15:14.997410+00:00,bp01-026-relaxaurus-hungry-gunner,201,201,0,0,20
2026-08-13T08:15:14.997410+00:00,bp01-027-jormuntide-surging-sea-serpent,149,149,0,0,40
2026-08-13T08:15:14.997410+00:00,bp01-028-pengullet-yearning-for-the-sky,248,248,0,0,12
2026-08-13T08:15:14.997410+00:00,bp01-029-azurobe-water-dragon-waltz,86,86,0,0,80
2026-08-13T08:15:14.997410+00:00,bp01-030-reptyro-cryst-glacial-devourer,61,61,0,0,105
2026-08-13T08:15:14.997410+00:00,bp01-031-penking-mighty-warrior-of-the-deep,89,89,0,0,76
2026-08-13T08:15:14.997410+00:00,bp01-032-fuack-manic-wave-ripper,78,78,0,0,85
2026-08-13T08:15:14.997410+00:00,bp01-033-wumpo-frostpeak-sentinel,39,39,0,0,125
2026-08-13T08:15:14.997410+00:00,bp01-034-teafant-fountain-of-cheer,56,56,0,0,109
2026-08-13T08:15:14.997410+00:00,bp01-035-mau-cryst-harbinger-of-riches,42,42,0,0,122
2026-08-13T08:15:14.997410+00:00,bp01-036-celaray-loop-de-loop,91,91,0,0,74
